date,Sleep Score,Total Sleep Score,REM Sleep Score,Deep Sleep Score,Sleep Efficiency Score,Restfulness Score,Sleep Latency Score,Sleep Timin Score,Total Sleep Duration,Total Bedtime ,Awake Time,REM Sleep Duration,Light Sleep Duration,Deep Sleep Duration,Restless Sleep,Sleep Efficiency,Sleep Latency,Sleep Timing,Bedtime Start,Bedtime End,Average Resting Heart Rate,Lowest Resting Heart Rate,Average HRV,Temperature Deviation (°C),Temperature Trend Deviation,Respiratory Rate,Activity Score,Stay Active Score,Move Every Hour Score,Meet Daily Targets Score,Training Frequency Score,Training Volume Score,Activity Burn,Total Burn,Steps,Equivalent Walking Distance,Inactive Time,Rest Time,Low Activity Time,Medium Activity Time,High Activity Time,Non-wear Time,Average MET,Long Periods of Inactivity,Readiness Score,Previous Night Score,Sleep Balance Score,Previous Day Activity Score,Activity Balance Score,Temperature Score,Resting Heart Rate Score,HRV Balance Score,Recovery Index Score
2022-11-19,87,100,99,97,100,53,67,82,36900,38700,1800,8430,21780,6690,48,95,150,19080,2022-11-18T22:18:29+02:00,2022-11-19T09:03:29+02:00,64.19,57.0,57,0.04,0.04,17.875,86,73,100,60,96,100,345,2275,8007,6992,34260,36300,13080,2760,0,0,1.40625,0,83,95,78,34,76,100,100,89,100
2022-11-20,77,100,99,49,65,45,78,62,34560,44760,10200,8670,22980,2910,52,77,420,24240,2022-11-19T21:30:38+02:00,2022-11-20T09:56:38+02:00,67.22,55.0,48,-0.01,0.11,17.5,94,100,100,78,100,100,489,2374,10754,10062,17160,44040,13440,4920,120,6720,1.4375,0,82,69,83,95,76,100,97,88,61
2022-11-21,89,100,92,95,96,53,81,100,33480,36840,3360,6540,21450,5490,48,91,510,18300,2022-11-20T21:38:33+02:00,2022-11-21T07:52:33+02:00,71.47,64.0,39,-0.06,0.1,17.5,96,85,100,95,100,100,524,2476,11422,10220,28500,28080,16620,5520,180,7500,1.53125,0,77,100,85,100,76,100,36,83,49
2022-11-22,77,75,80,95,90,69,99,41,25650,29220,3570,5670,14370,5610,45,88,900,14880,2022-11-22T00:48:30+02:00,2022-11-22T08:55:30+02:00,64.84,60.0,47,-0.19,0.01,17,97,96,100,95,100,100,439,2372,9796,9020,22080,39960,22080,2280,0,0,1.46875,0,80,69,78,87,76,98,76,83,100
2022-11-23,85,96,51,95,98,58,78,100,31290,33720,2430,3630,21900,5760,47,93,420,16620,2022-11-22T21:56:32+02:00,2022-11-23T07:18:32+02:00,65.8,59.0,59,-0.13,-0.02,17.625,94,91,100,95,100,100,749,2759,16726,15391,25440,31440,21420,7980,120,0,1.71875,0,84,90,79,100,77,100,85,86,75
2022-11-24,78,90,52,80,98,49,64,100,29490,31860,2370,3780,21030,4680,46,93,150,15900,2022-11-23T22:14:30+02:00,2022-11-24T07:05:30+02:00,71.99,61.0,38,-0.06,0.0,17,92,89,100,100,100,99,420,2367,9138,8384,26460,29940,17580,3000,60,9360,1.46875,0,69,72,77,77,71,100,66,79,22
2022-11-25,87,100,95,97,100,62,75,62,36180,37980,1800,6780,22350,7050,44,95,360,18840,2022-11-24T23:00:33+02:00,2022-11-25T09:33:33+02:00,65.4,60.0,50,0.03,0.07,17.625,96,85,100,95,100,98,431,2370,8853,8317,28500,37860,16800,3060,180,0,1.46875,0,86,95,84,96,74,100,77,81,100
2022-11-26,70,97,82,43,69,49,64,27,31650,40140,8490,5880,23220,2550,51,79,120,22230,2022-11-25T23:14:18+02:00,2022-11-26T10:23:18+02:00,75.31,61.0,36,-0.23,0.01,17.5,96,81,100,95,100,98,413,2325,8879,8114,30180,37260,15960,2820,180,0,1.4375,0,73,52,84,93,76,97,67,71,71
2022-11-27,76,99,95,48,72,62,86,23,32130,40320,8190,6930,22320,2880,44,80,630,21690,2022-11-26T23:32:29+02:00,2022-11-27T10:44:29+02:00,73.47,60.0,36,0.03,0.03,17.625,94,99,100,78,100,98,395,2256,8869,8131,17880,46260,12240,3540,180,6300,1.375,0,77,68,85,92,78,100,78,65,66
2022-11-28,92,100,99,99,100,68,72,96,34200,35520,1320,8460,17460,8280,39,96,270,17670,2022-11-27T22:11:52+02:00,2022-11-28T08:03:52+02:00,65.81,59.0,47,0.25,0.17,17.625,93,95,100,78,100,98,518,2463,11286,10231,23520,39060,19380,4380,60,0,1.5,0,89,100,89,100,80,84,88,67,100
2022-11-29,93,100,97,95,99,67,91,100,35880,38040,2160,7530,22680,5670,47,94,720,19110,2022-11-28T21:09:59+02:00,2022-11-29T07:43:59+02:00,67.82,63.0,41,0.1,0.25,17.625,94,100,100,78,100,98,545,2513,11782,10560,18300,37200,26880,3480,60,480,1.53125,0,83,100,94,96,80,97,49,64,100
2022-11-30,89,100,72,98,96,64,81,100,34140,37560,3420,5130,21630,7380,47,91,1320,19260,2022-11-29T21:28:21+02:00,2022-11-30T07:54:21+02:00,67.59,59.0,42,0.0,0.2,17.25,92,91,100,78,100,98,514,2478,11402,10118,25140,36840,20460,3840,120,0,1.53125,0,88,99,96,100,79,100,89,63,81
2022-12-02,87,97,83,100,98,54,70,100,31620,33840,2220,5940,16590,9090,47,93,270,16560,2022-12-01T22:20:02+02:00,2022-12-02T07:44:02+02:00,67.52,62.0,45,0.18,0.24,17.375,93,90,100,78,100,98,622,2574,12209,12786,26160,35760,19260,4860,360,0,1.59375,0,83,94,89,93,81,89,60,65,100
2022-12-03,87,100,89,98,93,47,94,76,36630,40980,4350,5850,23580,7200,53,89,1020,20850,2022-12-02T21:58:05+02:00,2022-12-03T09:21:05+02:00,66.45,59.0,47,0.32,0.38,18.25,95,75,100,95,100,100,623,2626,12355,12125,33240,27060,16080,5760,660,3600,1.625,0,84,94,94,78,78,78,90,68,75
