,Sleep Score,Total Sleep Score,REM Sleep Score,Deep Sleep Score,Sleep Efficiency Score,Restfulness Score,Sleep Latency Score,Sleep Timin Score,Total Sleep Duration,Total Bedtime ,Awake Time,REM Sleep Duration,Light Sleep Duration,Deep Sleep Duration,Restless Sleep,Sleep Efficiency,Sleep Latency,Sleep Timing,Average Resting Heart Rate,Lowest Resting Heart Rate,Average HRV,Temperature Deviation (°C),Temperature Trend Deviation,Respiratory Rate,Activity Score,Stay Active Score,Move Every Hour Score,Meet Daily Targets Score,Training Frequency Score,Training Volume Score,Activity Burn,Total Burn,Steps,Equivalent Walking Distance,Inactive Time,Rest Time,Low Activity Time,Medium Activity Time,High Activity Time,Non-wear Time,Average MET,Long Periods of Inactivity,Readiness Score,Previous Night Score,Sleep Balance Score,Previous Day Activity Score,Activity Balance Score,Temperature Score,Resting Heart Rate Score,HRV Balance Score,Recovery Index Score,cycle phases
22,68.0,41.0,35.0,100.0,96.0,91.0,67.0,100.0,17340.0,19140.0,1800.0,2610.0,2400.0,12330.0,14.0,91.0,210.0,9270.0,57.44,54.0,67.0,-0.29,0.0,14.25,60.0,99.0,100.0,1.0,1.0,69.0,236.0,1867.0,6266.0,5229.0,16560.0,39420.0,13020.0,1500.0,60.0,15840.0,1.3125,0.0,69.0,38.0,71.0,99.0,86.0,95.0,44.0,85.0,74.0,FP
23,83.0,70.0,83.0,100.0,90.0,94.0,70.0,100.0,24870.0,28140.0,3270.0,6150.0,7080.0,11640.0,15.0,88.0,1530.0,14820.0,56.24,50.0,76.0,-0.16,-0.06,14.125,71.0,73.0,100.0,25.0,40.0,100.0,1088.0,2829.0,27258.0,26316.0,33900.0,23880.0,10140.0,17040.0,600.0,840.0,2.0,0.0,80.0,76.0,66.0,100.0,89.0,99.0,78.0,83.0,93.0,FP
24,85.0,71.0,75.0,100.0,98.0,94.0,86.0,100.0,25170.0,27000.0,1830.0,5550.0,9450.0,10170.0,19.0,93.0,630.0,13500.0,59.03,51.0,65.0,0.18,0.09,14.75,74.0,48.0,95.0,43.0,71.0,100.0,404.0,2099.0,10989.0,9528.0,44220.0,24600.0,13020.0,4080.0,120.0,360.0,1.5,1.0,63.0,81.0,64.0,20.0,56.0,89.0,70.0,76.0,49.0,FP
25,86.0,87.0,97.0,100.0,99.0,97.0,67.0,47.0,29370.0,31140.0,1770.0,7860.0,10410.0,11100.0,24.0,94.0,210.0,15030.0,58.54,53.0,74.0,0.1,0.22,14.625,82.0,82.0,100.0,43.0,96.0,100.0,320.0,2009.0,8413.0,7200.0,29520.0,38100.0,14460.0,3000.0,0.0,1320.0,1.40625,0.0,71.0,84.0,68.0,65.0,51.0,96.0,54.0,75.0,100.0,FP
26,84.0,78.0,69.0,100.0,96.0,87.0,72.0,100.0,26940.0,29640.0,2700.0,5160.0,7530.0,14250.0,23.0,91.0,330.0,14220.0,56.35,49.0,81.0,0.04,0.23,14.5,82.0,71.0,100.0,60.0,100.0,100.0,447.0,2157.0,8342.0,9396.0,35580.0,30780.0,14400.0,2460.0,1560.0,1620.0,1.53125,0.0,78.0,79.0,68.0,90.0,54.0,100.0,89.0,77.0,95.0,O
27,88.0,86.0,70.0,100.0,100.0,92.0,67.0,100.0,29100.0,30600.0,1500.0,5220.0,9300.0,14580.0,18.0,95.0,210.0,14850.0,57.74,52.0,72.0,0.18,0.25,14.125,81.0,81.0,100.0,60.0,100.0,100.0,285.0,2003.0,6804.0,5956.0,30840.0,27660.0,18000.0,1440.0,0.0,8460.0,1.4375,0.0,73.0,89.0,72.0,56.0,54.0,89.0,64.0,75.0,93.0,LP
28,91.0,88.0,98.0,100.0,100.0,91.0,81.0,85.0,29550.0,30720.0,1170.0,8010.0,10860.0,10680.0,21.0,96.0,510.0,15420.0,62.92,55.0,47.0,0.43,0.4,14.0,93.0,94.0,100.0,78.0,100.0,98.0,361.0,2066.0,8751.0,7999.0,24600.0,37980.0,21000.0,1980.0,120.0,720.0,1.4375,0.0,69.0,97.0,75.0,92.0,59.0,68.0,40.0,59.0,100.0,LP
29,91.0,97.0,95.0,100.0,76.0,92.0,64.0,100.0,32220.0,39420.0,7200.0,7110.0,15150.0,9960.0,19.0,82.0,150.0,17550.0,59.98,52.0,63.0,0.34,0.51,14.75,94.0,77.0,100.0,95.0,100.0,97.0,408.0,2148.0,9460.0,8890.0,26940.0,32220.0,22140.0,2820.0,120.0,2160.0,1.53125,0.0,76.0,96.0,82.0,92.0,61.0,76.0,66.0,56.0,71.0,LP
30,84.0,78.0,88.0,100.0,93.0,92.0,67.0,80.0,27000.0,30360.0,3360.0,6510.0,10620.0,9870.0,20.0,89.0,210.0,13920.0,62.55,56.0,57.0,0.54,0.61,14.875,93.0,72.0,100.0,95.0,100.0,96.0,330.0,2048.0,8678.0,7162.0,26940.0,16440.0,14400.0,3060.0,120.0,25440.0,1.46875,0.0,60.0,78.0,81.0,87.0,61.0,59.0,34.0,50.0,79.0,LP
31,86.0,79.0,75.0,100.0,97.0,81.0,91.0,100.0,27330.0,29580.0,2250.0,5610.0,10710.0,11010.0,22.0,92.0,1080.0,15270.0,55.66,50.0,92.0,0.3,0.59,15.125,91.0,85.0,100.0,100.0,100.0,97.0,416.0,2183.0,10138.0,8344.0,28920.0,25380.0,26400.0,2880.0,240.0,2580.0,1.5625,0.0,77.0,84.0,81.0,85.0,65.0,79.0,84.0,61.0,71.0,LP
